year,tmID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,wr,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,dq,Award Count,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,PostthreeRatio,PostfgRatio,PostftRatio,ThreeRatio,fgRatio,ftRatio,coach_wr,coach_pwr
9,ATL,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.136472192499998,8.034056453333333,424.79584726916664,3039.3168744810996,399.09096069483354,910.2772990293337,1309.368259724167,627.0726718974684,308.0288544809861,100.95270754879438,626.2438409117524,803.6709755182495,3.1132008418755817,0.16599166666666668,2.6795008333333334,0.38243333333333335,31.1058625,254.60383738631936,23.72182324340728,67.40511461577027,91.12693785917756,56.94762539191144,19.469114868875835,14.063140383035776,45.023641969489866,74.51590586093843,2.147055977479987,2.866955582743229,4.093941187483383,6.210917666010665,5.597332373179781,6.081282555558334,10.329026361331008,0.0,0.0
10,ATL,Y,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,0.11764705882352941,28.716774154545455,17.20102379090909,631.1158991181818,5139.31573456528,818.1050601082668,1612.2445989804778,2430.349659088745,1204.6276333394662,570.0362982626618,248.15605321938574,1103.4665586815254,1508.0297892799952,18.38332889665865,0.4460565727272728,0.5675730818181819,0.16764608181818186,7.5569604,74.57146682146816,5.954411042366808,23.04239280211033,28.996803844477135,21.06093071830965,5.436763594205134,3.2687006365863516,17.63582066130307,20.852314135468603,0.008280000000000004,0.9371560970586299,1.3951660666505021,1.7476344871061231,7.909811068092797,9.282957586970186,15.721347569884143,0.11764705882352941,0.0
2,CHA,Y,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0.25,28.88888888888889,13.555555555555555,636.5555555555555,5874.871686390227,546.7761622996745,1302.4075685947348,1849.1837308944096,1759.4777813826063,643.6069488217361,187.35768137436656,1229.2904616240266,1500.2236296502285,16.63696983273596,0.0,1.3333333333333333,0.4444444444444444,20.22222222222222,213.625,41.0,80.5625,121.5625,65.125,38.9375,5.6875,46.9375,112.625,0.0,2.3942307692307696,5.484375,9.791666666666666,6.465639311860205,9.072276641091012,17.13148671620243,0.28125,0.0
3,CHA,Y,806.39,1892.545,429.21500000000003,572.835,132.87,389.57,305.34,630.7650000000001,936.105,543.86,703.8199999999999,221.575,494.13000000000005,92.04,2174.8650000000002,866.5050000000001,1922.8600000000001,524.33,702.91,135.96,418.41,327.53000000000003,655.7550000000001,983.2850000000001,582.995,594.5550000000001,258.83000000000004,427.785,123.08500000000001,2393.3,0.2765625,26.65833333333333,14.391666666666666,554.8583333333333,4569.733729406519,599.0758919575079,1183.3296979094978,1782.4055898670058,1185.6809508069223,483.4604148134967,232.61218772959307,1014.5365451535354,1217.890703576991,14.349279137824936,0.0,3.775,2.6333333333333333,86.5,1031.3847593582889,124.34184491978608,310.56951871657753,434.9113636363636,281.6910695187166,111.42088235294118,62.83796791443851,236.19133689839572,292.0449465240642,0.0,5.233021904566022,6.336318996713535,12.45933701993194,6.437185900535087,7.99965728726034,15.539593428961567,0.478125,0.35
4,CHA,Y,803.2968500000001,1883.8286750000002,434.3817250000001,580.4990250000001,139.51105,401.25155,305.0561,632.6549750000001,937.7110750000002,539.7919,698.9902999999999,223.22612500000002,486.8089500000001,93.14160000000001,2180.486475,858.9820750000001,1913.0119000000002,517.5019500000001,693.99265,135.7084,414.46515000000005,324.76495,652.7158250000002,977.4807750000001,575.0054250000001,595.0178250000001,254.50945000000004,427.46327500000007,121.37777500000001,2371.1745,0.30086718749999997,27.7,16.633,639.734,5605.409755081122,701.2603374311306,1514.340123880895,2215.6004613120253,1390.1873866334402,631.5421800505694,230.27283759526117,1045.9995629356597,1457.2985665173105,14.36051204745661,0.0,2.403,1.687,56.413,560.2613684578076,82.06093479810204,176.88540702457598,258.94634182267805,158.4536389632939,74.24586555441823,27.713997943233245,126.30014133096726,143.76830258387304,0.0,4.427462198420595,6.5441870923428365,10.453418483477307,7.651290400781956,9.184245162394184,17.285498920103027,0.0,0.0
5,CHA,N,801.9116177500001,1883.5882376250001,436.2192783750001,581.306607875,143.54761075000002,411.09016825000003,308.19633150000004,632.3443021250002,940.5406336250002,536.3245885000001,698.8211245,227.96690437500004,487.67518925000013,94.99956400000002,2183.590124625,853.1185986250001,1912.0758885000002,514.0592842500001,691.6982747500001,135.903186,413.8306122500001,329.96992925,650.0199798750002,979.9899091250002,567.8649638750001,595.9513098750001,255.31614675000006,430.9938966250001,119.90066412500002,2356.1996675,0.32029347656249996,30.3955,20.0827,697.2556999999999,5677.974074697506,794.203532980054,1703.553392799217,2497.7569257792707,1515.0598833832653,723.351900005121,283.02820296115794,1239.750353297312,1769.6188373112916,16.357036713644504,0.0,1.989,1.2916,44.662400000000005,426.4032417678466,70.02209141382039,145.74406200386858,215.76615341768897,104.89723622805198,43.99600675244323,18.51445528599001,109.48024744596373,127.76336725012929,0.0,5.298096647639911,8.127294109536189,11.90533134453169,6.2295872275329,9.226023309327745,17.000727573507202,0.5294117647058824,0.0
6,CHA,N,797.0741302412501,1871.7232374268751,436.2006397131251,582.0455462056251,145.45606383625002,415.16250394875004,303.75964332250004,630.9550364443753,934.7146797668752,526.9469984775002,694.5013289175,226.43971750312505,486.93779816375013,98.31460106000003,2175.804964031875,848.6035177418752,1913.7694379775003,507.59424508875014,682.7989213962501,135.40141519000002,408.32001020875015,333.20248526374996,648.1482815856252,981.3507668493752,563.4564419456251,595.8704485356252,254.26927427625006,431.5044154118751,119.39910767437502,2340.2026957625003,0.3330685310546875,28.786432307692305,17.873485384615382,673.7420576923076,5820.567812951907,803.5502465931162,1650.3644567092465,2453.914703302363,1412.7326197850743,653.1166245739431,297.4761422245954,1195.3788622731554,1564.4256358478087,10.396610782026395,0.0,1.5500538461538462,1.2112,39.15513076923077,450.6772199729149,69.48854488605156,152.40047720611986,221.8890220921714,110.28461580356243,60.59288844939556,28.38693974603335,118.32320298779624,118.97868712780851,0.08918181818181822,3.250244649314328,3.4789386271165195,6.640592047217626,6.553046214827616,8.58902215463486,15.929147636506995,0.4882352941176471,0.0
7,CHA,N,794.942829170744,1875.2317622455907,437.1185853375095,585.611674778147,141.93229841016878,405.4586911131063,304.80007364008753,629.0888583466034,933.8889319866909,524.0615036069127,697.2637159595125,231.33234151535942,491.0230853198314,99.56285996990003,2168.9365420891654,848.8072187338158,1911.579035749413,507.7137342562064,685.3660130775688,134.43229489885002,402.4278093410064,335.0552740163312,652.5556776508471,987.6109516671784,557.722644380247,600.8114604100971,255.52138596276882,440.2165401018657,121.66018352205315,2339.7604666226875,0.31975770591503905,28.176133749999998,18.58824875,647.38235875,5646.72576826843,751.5946065995746,1620.7458300706348,2372.34043667021,1061.933966385711,672.7706365320226,327.94274495412253,1267.387135759941,1693.3005031740445,22.247740434202562,0.0,0.615075,0.551085,17.131770000000003,222.56589724330055,35.432933881700784,78.34722368705816,113.78015756875892,53.52962101142709,29.89689979174587,15.116385689432265,58.597829037866255,59.95849479539001,0.04905000000000003,1.3941296007376653,1.5868731452476537,3.119606818610698,6.072803291897293,8.739382549189623,16.493483951534504,0.3,0.0
7,CHI,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.952411833333333,11.041942583333332,492.1864548333333,2496.6499130636635,428.1693119988418,756.0874859235647,1184.2567979224066,761.2030012460456,335.83455369005907,144.18351586611263,602.9455885293529,1078.1370980488348,7.020708235955017,0.0,2.029768333333333,1.0501966666666667,40.14740166666667,310.27670792699195,44.84801792037813,103.29918765711962,148.14720557749777,80.38234798651283,31.106495070148785,8.846978586475899,69.87188479961833,139.64411404475385,1.628415300546448,4.063374423719111,4.4284842620938445,6.875896006127014,4.193462462058457,6.505471987513402,11.44852110891558,0.0,0.0
8,CHI,N,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0.14705882352941177,26.22118877777778,18.686569888888886,612.7417478888889,5747.5058989883055,833.7539113833195,1610.5093718561639,2444.2632832394834,1198.2023263479161,587.7315576388589,243.29634873633267,995.3212141307839,1466.2042088105975,7.152572637215171,0.0,0.7620974444444445,0.5619417777777778,18.59210977777778,298.9951925999637,88.73723731285749,102.58469441436772,191.32193172722523,75.71914775258664,7.589938230245316,4.899051300097201,93.06459055562908,118.17188710568784,5.221820929121175,0.6114776960784316,7.498913342539872,8.391277898604631,3.5993335799777118,8.6836040232369,15.749306927311475,0.0,0.0
