year,tmID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,wr,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,dq,Award Count,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,PostthreeRatio,PostfgRatio,PostftRatio,ThreeRatio,fgRatio,ftRatio,coach_wr,coach_pwr
9,ATL,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.146521250406902,8.105570475260416,426.68532689412433,3097.4365550960006,403.57136718631045,920.0251155195892,1323.5964827058997,642.3596998178454,312.859694066112,102.39460277709343,633.3046546322598,809.4723517756132,3.0983735687826695,0.16634114583333334,2.6641438802083335,0.375,30.658121744791668,251.53469444642138,23.875701191759212,65.95352055314335,89.82922174490257,55.1223146810981,18.395093192210396,14.178869256095084,43.7193671530469,73.41260844787139,2.3047966963151207,2.9411182998420733,4.1096081369792286,6.149342558290149,5.702539522554352,6.122322120081528,10.441004768632158,0.0,0.0
10,ATL,Y,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,0.11764705882352941,28.61203280362216,17.286238236860797,631.5686978426846,5126.19787525393,812.8597166991312,1598.0794615018206,2410.939178200952,1200.0309703677915,572.6034749757899,249.4388233360266,1101.9077897369689,1517.540373222664,18.83258623445906,0.44874711470170453,0.4650046608664773,0.13459361683238635,6.069291548295454,58.88697244853601,4.6067548006348,18.385014614200557,22.99176941483536,16.45875341571005,4.024033309250096,2.5752921196182665,13.88347454318245,16.220293730942537,0.0033275462962962963,0.7483688082199063,1.1209523029710324,1.3652822228735302,7.9411865494756135,9.367388053232025,15.87210042224761,0.11764705882352941,0.0
2,CHA,Y,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,0.25,28.88888888888889,13.555555555555555,636.5555555555555,5874.871686390227,546.7761622996745,1302.4075685947348,1849.1837308944096,1759.4777813826063,643.6069488217361,187.35768137436656,1229.2904616240266,1500.2236296502285,16.63696983273596,0.0,1.3333333333333333,0.4444444444444444,20.22222222222222,213.625,41.0,80.5625,121.5625,65.125,38.9375,5.6875,46.9375,112.625,0.0,2.3942307692307696,5.484375,9.791666666666666,6.465639311860205,9.072276641091012,17.13148671620243,0.28125,0.0
3,CHA,Y,762.5,1810.75,415.25,540.25,147.5,417.5,308.0,636.75,944.75,488.0,632.0,218.25,479.5,108.0,2087.75,768.75,1867.0,456.5,600.5,120.0,382.5,339.5,591.25,930.75,481.25,583.25,257.5,441.75,123.75,2114.0,0.484375,26.604166666666668,14.479166666666666,553.4791666666666,4554.028891467384,602.5424070292682,1187.4299298939534,1789.9723369232215,1173.9493444841796,480.7181940526391,231.7546291369655,1011.6426827450158,1209.0633743167516,14.114624780813557,0.0,3.9375,2.75,90.83333333333333,1039.0665584415585,125.28246753246754,313.81006493506493,439.09253246753246,282.88920454545456,112.29504870129871,63.47077922077922,236.9200487012987,293.3827110389611,0.0,5.243139895818467,6.323284301877369,12.487615604092877,6.442922689980316,7.970437652591085,15.505460858304566,0.4921875,0.375
4,CHA,Y,768.125,1795.1875,471.3125,632.3125,195.125,499.625,303.5,648.9375,952.4375,494.0,643.25,235.3125,425.875,105.75,2202.6875,775.6875,1822.0,447.125,598.625,129.75,374.625,306.125,612.8125,918.9375,487.0625,595.8125,220.375,428.4375,108.1875,2128.25,0.54296875,27.575,16.59375,637.7875,5631.960472154484,701.720094219579,1522.9500580390968,2224.670152258676,1385.8801326594069,631.6975696678614,230.33116778414796,1038.168945506368,1464.6696934610034,14.714148292538999,0.0,2.29375,1.60625,53.88125,516.0313358516484,76.85044871794871,165.52368475274724,242.37413347069597,147.61097756410257,69.55630608974359,24.56702380952381,115.99505265567765,130.15615155677656,0.0,4.376150506430383,6.489024706305079,10.128383725649352,7.587507860903575,9.159735776321444,17.254180707331166,0.0,0.0
5,CHA,N,782.28125,1859.546875,459.828125,600.578125,189.03125,512.65625,332.375,633.984375,966.359375,497.75,683.5625,268.078125,479.21875,112.6875,2213.421875,786.421875,1882.0,469.53125,649.90625,135.9375,398.90625,366.03125,618.953125,984.984375,490.015625,603.453125,253.09375,458.859375,105.046875,2178.3125,0.5328010110294118,30.3984375,20.1203125,696.7296875,5682.979994064492,802.346216504188,1712.2860664535158,2514.6322829577034,1513.3195641542166,728.4718691134378,283.19274345800005,1244.4858898206367,1783.1284473287717,16.403960167476846,0.0,1.928125,1.225,42.878125,402.2805132115617,66.16497995655068,136.15323835226383,202.31821830881455,96.22183471933472,40.459745159823285,16.457386223973394,101.51860666471687,119.62522772620635,0.0,5.365304738929396,8.0364024233908,11.757602190375627,6.159109912997272,9.217984864541366,17.027686098763937,0.5294117647058824,0.0
6,CHA,N,754.3203125,1772.88671875,441.95703125,592.64453125,171.7578125,472.4140625,275.09375,620.49609375,895.58984375,443.9375,656.890625,224.51953125,479.0546875,128.671875,2122.35546875,796.60546875,1919.5,445.8828125,602.7265625,131.484375,361.4765625,367.5078125,625.73828125,993.24609375,509.50390625,597.11328125,245.5234375,442.46484375,111.76171875,2170.578125,0.4861414292279411,28.735276442307693,17.877478966346153,674.1886268028846,5808.832488092512,797.3349072542254,1652.0931408582137,2449.428048112439,1413.4467263597771,651.7367523781945,296.47657573551794,1195.2673763797213,1563.5170375889354,10.114353197130592,0.0,1.5207331730769231,1.2091346153846154,38.65715144230769,446.44378729270284,69.48380294167708,150.91198945156913,220.39579239324624,109.10045005038656,60.175692306384505,29.03338389085623,118.26590919817282,117.80971130756649,0.05160984848484849,3.1908539133453244,3.329571580713807,6.388903232115745,6.534333922796569,8.591493245791892,15.942148531487684,0.48529411764705876,0.0
7,CHA,N,767.580078125,1877.9716796875,445.7392578125,616.1611328125,120.939453125,343.853515625,305.7734375,611.8740234375,917.6474609375,480.734375,709.47265625,269.1298828125,521.013671875,116.91796875,2101.8388671875,837.4013671875,1895.875,493.220703125,685.431640625,125.87109375,344.619140625,358.126953125,681.4345703125,1039.5615234375,499.3759765625,639.7783203125,263.130859375,511.1162109375,137.4404296875,2293.89453125,0.25388829848345584,28.3031005859375,18.5404052734375,647.3973388671875,5637.647634214982,750.8231269843061,1614.6001549696282,2365.4232819539343,1056.1350357324625,673.4854129844443,324.62982279171274,1277.7382232848472,1698.362482729881,22.901267748392534,0.0,0.562744140625,0.465576171875,14.552978515625,189.00831925853024,30.207008075395706,65.89240962616718,96.0994177015629,45.55412299439337,25.541572880404132,13.037674247251415,50.39812386545042,50.54775446815815,0.02365451388888889,1.1824055444230923,1.31351404803538,2.6146237536158305,6.054252848689487,8.753437012895578,16.47989411902078,0.3,0.0
7,CHI,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12890625,10.855570475260416,492.751220703125,2475.444940474526,427.5416534297813,756.3637765312583,1183.9054299610395,750.0014079928292,332.9608500992497,144.80290395971772,594.425721366104,1075.9300027838951,6.815763169705144,0.0,2.0377604166666665,1.02197265625,40.267578125,308.76312367987794,45.12001315652625,102.69888894682673,147.818902103353,75.18506228320904,30.010112153330713,8.547240651782325,69.26392621418563,139.69682853887556,1.7462686567164178,4.132882150111107,4.356074017444414,6.812748607425698,4.107728075943956,6.494558032976358,11.398204094401995,0.0,0.0
8,CHI,N,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,0.14705882352941177,25.781168619791668,18.70803493923611,606.5327962239584,5752.487883373867,828.7115517144498,1609.8940578757395,2438.6056095901895,1200.2712774204194,587.4666888177501,243.4738224242709,993.2043187418037,1451.3020041732243,6.755168045577031,0.0,0.7200249565972222,0.5441623263888888,17.67648654513889,281.10637027107754,86.82687020625707,96.36842115366275,183.19529135991982,70.63546410230934,6.320896087671026,3.7491558934249554,90.7834950453141,113.31559495068805,5.548462712603576,0.5104791243224932,7.477900340237928,8.036871642832388,3.541812067886674,8.713207320667168,15.912609403296711,0.0,0.0
9,CHI,N,908.25,2251.5,479.0,703.0,178.75,542.0,376.5,756.5,1133.0,575.0,644.0,265.75,514.25,115.25,2474.25,965.0,2219.0,512.0,665.5,188.0,494.75,379.0,849.5,1228.5,593.75,658.25,247.0,558.25,133.5,2630.0,0.34558823529411764,23.681427001953125,11.937481689453126,500.95049438476565,4621.521068854089,710.0385557717995,1461.295522555093,2171.3340783268923,1082.5215661669922,498.8642716222075,214.1671525547873,801.039944164794,984.6155060691326,7.3385743484516395,0.1,0.619427490234375,0.1064208984375,7.07486572265625,70.8729345971705,22.45948475377992,25.36988890423916,47.82937365801907,20.243461760303248,2.2925879965011906,0.9372889733562388,22.795820841592953,27.092958596401786,1.387115678150894,0.14534505208333331,1.89596332448937,2.9420250338365683,4.3483568905437915,7.372951457036587,13.945641736130758,0.0,0.0
10,CHI,N,901.3125,2137.875,542.75,784.75,127.1875,391.25,361.875,766.625,1128.5,554.75,640.25,268.1875,522.3125,140.5625,2472.5625,929.0,2207.0,507.5,657.625,174.5,504.6875,369.25,807.875,1177.125,546.6875,675.3125,253.0,531.0625,126.375,2540.0,0.35110294117647056,27.264764404296876,14.140040588378906,563.8621322631836,5251.469792754544,627.4336696951735,1608.1066716844678,2235.540341379641,1099.7149485690334,522.0647917768958,316.75002382531335,945.2985629359803,1089.2931527178719,7.669826825267369,0.1,0.9535400390625,0.07236328125,9.983203125,79.4708052449739,9.78764112762933,19.359180016316536,29.146821143945868,26.930593739854515,13.653333343674284,0.07145182291666667,17.38513773051699,9.492550579604979,0.0,1.1511655364490305,2.298843601004982,3.166367458803274,4.899008143967132,8.42922420924695,14.445494381320085,0.35294117647058826,0.0
2,CLE,Y,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,0.53125,24.76923076923077,10.0,483.15384615384613,3821.4613965201465,590.5204395604395,1052.0035393772894,1642.523978937729,788.0710485347985,440.6621749084249,160.72432234432233,823.6793315018315,1145.913585164835,15.165865384615385,0.0,4.384615384615385,1.8461538461538463,81.38461538461539,684.1194444444444,150.54166666666666,264.51666666666665,415.05833333333334,146.43333333333334,102.06111111111112,24.597222222222218,139.11388888888888,192.07222222222222,0.0,2.020405982905983,6.091231992246033,8.911733906525575,5.7799092444496445,7.736733049271118,13.135011319923013,0.53125,0.5
3,CLE,N,774.5,1784.5,385.5,521.25,114.75,353.0,305.5,647.25,952.75,512.0,560.75,265.0,467.5,85.0,2049.25,691.5,1749.0,359.75,478.75,128.75,404.75,292.0,594.5,886.5,460.5,621.0,245.0,510.0,119.0,1871.5,0.6484375,26.194444444444443,12.944444444444445,576.0277777777778,4695.719407310812,741.817483129361,1493.033803698272,2234.851286827633,983.3539298524273,594.3756531029435,185.6449991881525,916.739501610445,1242.8605389538127,7.531423611111112,0.0,3.0277777777777777,1.6388888888888888,68.83333333333333,563.6953703703704,113.81018518518519,168.7861111111111,282.5962962962963,111.61759259259259,67.44074074074075,31.914814814814818,105.6138888888889,154.52777777777777,0.0,3.2181397306397304,8.827822780975552,12.262711606808828,8.935571703033876,8.760444577589958,14.704008048958066,0.6484375,0.375
4,CLE,Y,763.625,1811.125,418.875,545.0625,119.4375,368.75,297.625,667.3125,964.9375,488.0,565.4375,232.0,455.125,83.5,2065.5625,770.625,1812.75,387.6875,510.4375,143.9375,431.9375,281.5,628.625,910.125,512.625,615.0,242.75,448.5,111.5,2072.875,0.396484375,23.3875,15.025,540.6375,4769.647078177792,675.817943630056,1512.2230423003184,2188.0409859303745,1047.6397887953121,506.08572182242443,145.17748319153236,951.211852975857,1136.475775249923,14.610211074649476,0.1,0.74375,0.39375,16.9875,202.76354166666667,44.26577380952381,69.1952876984127,113.4610615079365,92.37375992063492,37.20694444444444,7.505902777777777,37.930704365079364,55.049107142857146,0.0,2.0031165015540013,2.4491046330161104,5.770409075877826,7.120874586837875,7.791303247585171,14.486611692341588,0.396484375,0.09375
4,CON,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.253125,17.44375,662.8484375,6239.086889346729,874.6285190046631,1712.8304323993227,2587.4589514039853,1516.702300649579,913.4745163727026,242.99511865327008,1174.279211910292,1600.1770524927952,14.283576992769763,0.09375,0.1875,0.1875,6.63125,127.7375,21.73333333333333,35.641666666666666,57.375,43.15416666666667,14.4625,5.7625,28.958333333333336,36.0375,0.0,0.7637820512820512,1.7674864805382633,1.982175925925926,7.329997763089417,10.229894604070877,18.355199499802684,0.0,0.0
